# 90-day-plan.csv: the twelve weeks and three checkpoints, with one runner per week. Kept by the runner; the way of working owner keeps the checkpoint decisions.
# Who fills it in: the runner, who makes each week happen (often the senior engineer at about 25 people, the engineering lead at about 150). Delete the path that is not yours in "What happens".
# When: before day 1, with a date on every week. Weeks 4, 8 and 11 are buffer weeks: what slipped comes first. Each checkpoint ends in one decision: continue, adjust or stop. Checkpoint 1 on the Start path: continue or adjust, since nothing has changed yet. The row starting EXAMPLE shows how to fill it in: delete it.
"Week","Draws on (part)","What happens","Runner","Also there","Output","Done"
"EXAMPLE: 2 (Start)","01","Draft the map alone, about an hour, following one recent change from idea to customer. Show it to three people who do the work, one at a time. Score three first use cases","the senior engineer","the PM, one more engineer, the support person, one at a time","The map, the gates, the first use case","9 Oct 2026"
"1","00, 02, 06","The first week: self check and inventory, one team, hats named with weekly hours, numbers written (M1, M2, M5 on day 4; M6 from the bill on day 1), one message to everyone saying what changes and what stays the same","","","",""
"2","Start 01. Fix 03","Start: map the steps; in month one only G3, G4 and G7 run as written; score three first use cases. Fix: close flags 1 to 4; one page policy, access list, exceptions log; cut duplicate tools; start any review tool trial with a bar and a date","","","",""
"3","Start 04. Fix 01","Start: high severity paragraph and severity scale, so M4 starts. Fix: map the one team's steps, count the review queue, score the first use case","","","",""
"4, buffer","Start 03, 05. Fix 04, 05, 03","What slipped first. Incentive check (prompts/incentive-check.md). Start: one page policy. Fix: high severity paragraph, release checklist in the pull request template, review tool verdict. Waits to day 45: patterns.md version one, test accounts","","","",""
"CP1, day 30","06, 07","Read the day 4 numbers against today. Did the gates hold: does every gate have a name, and has each name decided something? Not passed until the high severity list is written. Decision: continue or adjust. On Fix, also stop if the one page of rules could not be agreed","way of working owner","the runner","Decision, written in the weekly note",""
"5","01, 04","The first use case runs: preview before the diff, plan agreed before code, author attaches the release checklist evidence, whoever merges confirms it. Fix: for the one team, with the high and low lanes","","","",""
"6","Start 04, 06. Fix 03, 04, 06","patterns.md version one and the test accounts land. Start: weekly sample of five and the M3 tally start. Fix: first M7 sample and M8 pulse, exceptions log read","","","",""
"7","Start 05. Fix 06, 04","Start: demo slot at standup, every demo shows one unhappy state. Fix: weekly sample of five from the one team, M3 tally","","","",""
"8, buffer","Start 01, 03, 04. Fix 05, 04","What slipped first. Start: second use case, exceptions closed, tool verdicts, patterns.md confirmed. Fix: written statement that work is judged by whether it works, demo slot, practice champion named, patterns.md confirmed by the designers","","","",""
"CP2, day 60","06, 07","Read the numbers against day 30 and day 4, with the sample log. Did lead time fall without the others getting worse? Did the gates hold? Would the team keep it if you stopped asking? The runner or team lead answers. Decision: continue, adjust or stop","way of working owner","the runner","Decision, written in the weekly note",""
"9","Start 04, 02. Fix 07, 02","Start: an S1 or S2 in the sample adds its area to the high severity list; the third S3 of a kind becomes a line in patterns.md; hats confirmed. Fix: five teams named, each with a rules contact and an experience quality contact, each picks a first use case","","","",""
"10","Start 03, 04. Fix 01, 03","Start: policy version two from the exceptions log; release checklist on every release. Fix: each team lead drafts the team's map from the one team's map and shows it to three people, one at a time; policy version two","","","",""
"11, buffer","06, 04","What slipped first. Numbers read per team at the monthly look. Fix: the sample runs across all five teams","","","",""
"12","05, 06, 01","Drop what failed its bar, in writing. Draft the way of working page: map, gates, hats, rules, numbers. Date the next incentive check for week 13","","","",""
"CP3, day 90","06, 07","Read the numbers for every team, ask each lead the three questions. The way of working owner puts the page in their own words. Decision: next quarter's one change, or stop for a team that did not hold","way of working owner","the runner, team leads","Decision, next review date for every sheet",""
